section,old_feature,new_feature,derived,description
active,utm_sky,utm_sky_missing,да,Флаг пропуска в поле utm_sky. Позволяет учесть отсутствие этого значения.
active,utm_sky,utm_sky_autotarget,да,Бинарный индикатор автотаргетинга. Выделяет один важный тип рекламной настройки.
active,utm_sky,utm_sky_brand,да,Бинарный индикатор брендового трафика. Помогает отдельно учитывать брендовые кампании.
active,utm_sky,utm_sky_varicose,да,Бинарный индикатор тематики варикоза. Выделяет содержательно значимое направление рекламы.
active,utm_sky,utm_sky_sleep,да,Бинарный индикатор тематики сна. Отражает отдельную рекламную тематику.
active,lead_group,lead_group_missing,да,Флаг пропуска в групповом признаке. Учитывает отсутствие исходной категории.
active,lead_group,lead_group_grouped,да,Сгруппированная версия признака lead_group. Используется для уменьшения числа редких значений.
active,lead_Проблема,problem_missing,да,Флаг отсутствия описания проблемы. Сам факт пропуска может быть информативным.
active,lead_Проблема,problem_grouped,да,"Укрупненные группы проблем клиента. Сохраняет смысл, но уменьшает шум и кардинальность."
active,lead_Линейная высота (см),lead_heigh2_ord,да,"Порядковое кодирование категорий высоты. Удобно для моделей, которым нужен числовой признак с сохранением порядка."
active,lead_Линейная высота (см),lead_heigh2_is_unknown,да,"Флаг неизвестной категории высоты. Отдельно отмечает случаи, где высота не определена."
active,lead_Стоимость доставки,delivery_cost_missing,да,Флаг пропуска стоимости доставки. Позволяет не смешивать нули и пропуски.
active,lead_Стоимость доставки,delivery_cost_log,да,Логарифм стоимости доставки. Сглаживает распределение и уменьшает влияние выбросов.
deleted,handed_to_delivery_ts,,,"Удален из-за утечки таргета. Событие происходит после принятия решения о выкупе и напрямую связано с целевой переменной."
deleted,issued_or_pvz_ts,,,"Удален из-за утечки таргета. Отражает этап доставки, который наступает после формирования результата."
deleted,received_ts,,,"Удален из-за прямой утечки. Факт получения заказа напрямую коррелирует с buyout_flag."
deleted,returned_ts,,,"Удален, так как отражает возврат после получения и является постфактум информацией."
deleted,closed_ts,,,"Удален, так как фиксирует завершение сделки, что напрямую связано с целевой переменной."
deleted,lead_closed_dt,,,"Удален из-за высокой корреляции с таргетом и постфактум природы признака."
deleted,sale_dt,,,"Удален, так как информация о продаже недоступна на момент предсказания."
deleted,sale_date_dt,,,"Удален по той же причине — утечка таргета."
deleted,lead_Ширина,,,Удален в исходном числовом виде после преобразования в width_cat и width_is_missing. Сырой признак заменен более устойчивыми производными версиями.
deleted,lead_Линейная высота (см),,,"Удален после биннинга, логарифмирования и кодирования. Исходное поле заменено набором специализированных признаков."
deleted,lead_Вид оплаты,,,Удален после укрупнения категорий в lead_payment_type. Это уменьшает шум и число редких значений.
deleted,lead_Служба доставки,,,Удален после преобразования в lead_delivery_type. Сохранена общая бизнес-логика без лишней детализации.
deleted,lead_group_id,,,Удален после выделения флага пропуска и encoded-признака lead_group_quality. Так снижается высокая кардинальность исходного ID.
deleted,lead_group,,,Удален после группировки и создания флага пропуска. Исходная строковая версия стала избыточной.
deleted,lead_Масса (гр),,,Удален после создания lead_mass_log и lead_mass_known. Производные признаки лучше отражают структуру данных.
deleted,contact_created_dt,,,Удален после построения contact_to_lead_hours и contact_missing. Исходная дата заменена более интерпретируемыми признаками.
deleted,lead_created_dt,,,Удален после расчета contact_to_lead_hours. В модели оставлена только полезная временная разница.
deleted,lead_utm_medium,,,Удален после создания is_paid_traffic. Бинарный признак оказался компактнее и устойчивее.
deleted,lead_utm_campaign,,,Удален после группировки и выделения пропусков. Это снизило кардинальность и шум.
deleted,traffic_source,,,Удален после группировки и выделения пропусков. Сырой категориальный признак заменен более компактной формой.
deleted,utm_term,,,Удален после укрупнения термов и создания флага пропуска. Это уменьшает число редких значений.
deleted,utm_sky,,,Удален после разложения на набор бинарных индикаторов и флага пропуска. Так признак становится удобнее для модели.
deleted,lead_Проблема,,,Удален после группировки категорий и выделения пропусков. Производные признаки стабильнее исходного текста.
deleted,lead_Категория,,,Удален после frequency encoding в lead_category_freq. Сохраняется информация о распространенности значения.
deleted,lead_Стоимость доставки,,,Удален после создания логарифма и флага пропуска. Производные признаки лучше подходят для обучения модели.
deleted,device_type,,,Удален после создания бинарного признака is_feature_phone. Исходная детализация оказалась избыточной.
deleted,width_is_anomaly,,,Удален как малополезный или избыточный признак после пересмотра feature engineering. Финальная версия набора оставляет только наиболее устойчивые признаки по ширине.
deleted,lead_heigh_ord,,,Удален как промежуточная версия признака после исправления именования и логики. В итоговый датасет включен lead_heigh2_ord.
deleted,lead_heigh_is_unknown,,,Удален как промежуточная версия признака после исправления именования. В итоговый датасет включен lead_heigh2_is_unknown.
